MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,FpDensityMorgan1,AvgIpc,BalabanJ,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumAromaticRings,NumSaturatedHeterocycles,NumSaturatedRings,MolLogP,Value
15.343007,0.061801724,-1.3696567,0.34049565,15.78125,439.447,1.28125,3.5831594,1.597416,34228460.0,30.777735,17.0687,11.566732,5.4287906,0.0,5.9693055,4.794537,14.168931,0.0,0.0,6.066367,24.974377,37.442947,23.197193,19.028343,34.064865,0.0,9.551078,0.0,24.80139,36.06364,52.19679,5.7495117,26.532898,21.58305,5.7495117,0.0,40.323307,5.538925,5.8172207,0.0,10.902925,131.5,22.778769,4.390415,28.049435,37.45178,12.841643,6.1968436,10.763944,18.1991,15.617556,10.4705305,23.045362,28.804943,15.543654,4.4941983,-1.3293579,5.2815847,1.0947564,0.0,0.3181818,5.0,1.0,1.0,2.0,3.0,0.0,1.0,2.6116,7.43
12.2520075,0.02693022,-0.34511402,0.5881366,14.580646,420.517,1.1290323,3.2743373,1.1783177,16549339.0,14.739793,0.0,0.0,5.8244047,0.0,11.797904,14.678426,0.0,4.9839787,0.0,11.22303,62.205425,56.368305,0.0,9.317632,11.594566,0.0,25.341318,0.0,20.268295,44.16845,59.74315,11.387856,10.216699,5.6873865,0.0,0.0,65.20025,0.0,13.847474,0.0,11.387856,87.39,0.0,0.0,11.797904,17.932611,39.144604,16.81429,18.460054,6.066367,62.287804,4.523095,5.081577,25.319525,6.714718,4.642442,-0.011003028,4.1725144,9.914062,0.0,0.39130434,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.69054,6.05
12.137984,0.086809985,-0.5397343,0.37008548,13.8,355.375,1.0,2.8886018,1.9751999,529191.9,5.3167887,5.697039,0.0,0.0,17.501745,0.0,25.020182,0.0,0.0,11.761885,0.0,48.217422,22.715605,10.496415,14.512385,40.52412,0.0,5.3167887,0.0,4.8954835,11.572557,69.90575,0.0,10.633577,11.374773,0.0,11.761885,22.99344,9.589074,10.114318,0.0,5.5731044,101.34,16.73767,0.0,16.957531,11.250837,4.8954835,24.265469,11.761885,30.521238,10.633577,0.0,0.0,35.546204,15.958882,1.287117,-1.0746455,1.95907,0.0,0.0,0.05882353,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.7963,6.41
13.068613,0.31331873,-0.4171551,0.34582973,14.029411,515.371,0.9705882,3.6011147,1.4977574,125784290.0,13.701299,5.697039,0.0,0.0,11.81436,0.0,19.889841,4.9839787,0.0,0.0,21.996311,36.75266,65.012825,22.933826,9.589074,60.950775,0.0,28.986044,0.0,19.510334,0.0,83.74591,0.0,5.3167887,0.0,0.0,15.929944,35.483616,22.678587,0.0,0.0,33.20647,86.74,11.81436,0.0,0.0,11.2701435,51.48283,0.0,29.484951,53.35899,35.781788,0.0,6.877614,34.479565,3.4081016,3.9321303,-0.814262,11.863465,1.581317,0.0,0.12,1.0,0.0,1.0,4.0,5.0,0.0,0.0,4.065,6.02
12.789992,0.26155224,-0.32913217,0.5168726,10.379311,381.439,0.8965517,2.7647212,1.54697,5814938.5,10.633577,5.693928,0.0,5.9483395,5.90718,0.0,9.778516,9.9679575,0.0,0.0,48.028023,36.75266,23.644526,11.88423,4.794537,23.230291,0.0,14.951936,0.0,6.923737,10.633577,96.57795,11.126903,10.633577,17.323112,0.0,0.0,20.859116,0.0,6.923737,0.0,11.126903,79.8,0.0,0.0,11.601108,11.635726,22.37774,0.0,24.656898,67.58741,25.585512,0.0,0.0,25.459614,6.0172806,4.782894,0.02824984,4.8878474,2.0212104,0.0,0.04347826,2.0,0.0,0.0,2.0,4.0,0.0,0.0,4.84292,9.51
12.81942,0.25954035,-0.25954035,0.48081958,10.379311,401.857,0.86206895,2.7647212,1.54697,5814938.5,10.633577,11.635726,0.0,0.0,5.90718,0.0,9.778516,9.9679575,0.0,0.0,41.932774,35.895287,29.717434,16.906862,4.794537,34.83123,0.0,14.951936,0.0,0.0,10.633577,96.03713,11.126903,10.633577,17.323112,0.0,11.60094,20.859116,0.0,0.0,5.022633,11.126903,79.8,0.0,0.0,5.90718,27.909197,11.126903,6.1968436,42.856,36.3982,25.585512,11.60094,0.0,25.36338,6.531889,2.982901,0.82381463,6.4367666,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,5.1879,9.05
6.577416,0.4702495,0.4702495,0.28061798,13.0,472.614,0.9117647,2.8735797,1.5738753,79792050.0,15.207394,5.817863,22.302637,0.0,0.0,0.0,0.0,14.951936,0.0,0.0,48.160088,60.927197,17.010233,19.60582,9.473726,28.61315,0.0,14.951936,0.0,37.260544,25.706116,65.35177,22.625927,15.207394,5.817863,11.499023,11.761885,34.924385,19.262465,0.0,0.0,22.160305,83.15,0.0,0.0,0.0,28.1205,60.06402,11.126903,25.98148,24.265469,29.249447,25.17535,11.0248,14.485789,1.4886401,12.981519,2.7244287,5.131973,0.0,3.2938685,0.2962963,2.0,1.0,0.0,2.0,4.0,0.0,0.0,5.5048,5.33
8.957823,0.0,0.0,0.70612395,11.166667,408.321,1.125,3.048001,2.0833318e-06,316943.34,9.84339,5.7495117,5.8244047,4.8014026,0.0,0.0,4.992405,3.9566612,4.9839787,16.981451,18.1991,47.93069,5.5634513,25.948822,9.84339,28.513937,0.0,8.9406395,4.992405,0.0,20.261436,59.398705,22.824755,9.538265,0.0,5.7495117,28.513937,34.3086,0.0,0.0,0.0,17.075243,59.64,0.0,0.0,23.588333,11.346159,22.824755,11.532487,7.1097975,58.553967,9.976383,9.84339,7.2470493,9.56235,8.957823,2.0116835,1.6259028,0.0,0.36819613,1.6466979,0.1764706,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0803,5.92
12.654046,0.07430177,-0.28652135,0.31139532,11.030303,437.503,0.8484849,3.468813,1.1771119,69181020.0,20.601534,0.0,0.0,5.90718,5.90718,0.0,14.573053,0.0,0.0,0.0,18.1991,53.945927,64.264885,6.5447564,9.589074,33.62021,0.0,25.585512,0.0,6.4208217,13.089513,90.51158,11.126903,10.633577,0.0,0.0,0.0,39.85581,11.215359,0.0,0.0,32.932755,102.67,0.0,0.0,18.359116,18.52903,38.496204,0.0,18.460054,54.858257,31.65188,0.0,0.0,35.41248,7.681243,5.6899605,-0.5056062,8.077549,0.42684254,0.0,0.115384616,4.0,0.0,0.0,3.0,5.0,0.0,0.0,3.7999,4.47
12.061351,0.21090661,-0.21090661,0.7081398,15.791667,355.448,1.3333334,3.2630076,1.5130624,595551.1,5.3167887,10.704663,0.0,5.9595547,5.90718,0.0,10.111326,14.9603615,0.0,22.673573,6.066367,30.695944,11.073991,22.271915,4.794537,50.832947,0.0,20.601534,4.992405,13.468493,0.0,51.051746,0.0,10.633577,0.0,0.0,22.673573,21.834692,11.3392935,6.923737,0.0,16.29264,79.27,0.0,0.0,5.90718,18.201351,26.481625,0.0,28.749592,36.01344,25.593939,0.0,1.0872433,25.00568,8.781342,5.0784044,0.2455484,1.7745175,2.4934216,0.0,0.125,2.0,0.0,1.0,2.0,3.0,0.0,0.0,2.67772,5.67
